t,x,y,z,yaw,vx,vy,vz,wx,wy,wz,tau_L,tau_R
26.397238472,-3.293243905212904,2.154110843480332,0.04349794064049009,-1.6891972423643007,-0.00012783622585742032,-0.00015229289519279977,0.00027821721384915955,-0.0006139866240620788,0.00446920276002513,-0.0020567766595853423,0.0,0.0
26.407484696,-3.2932438521887644,2.1541104426727524,0.04349886496813799,-1.6891974881864196,-7.178538411738663e-05,1.9799024116662987e-05,0.00037057116662829,-0.00395501760308057,0.0008260627223062906,0.0022221194823310694,0.0,0.0
26.417328829,-3.2932437045287766,2.1541102253853546,0.0434992479621346,-1.6891946068648476,1.948085293357063e-05,4.122989350245206e-05,0.00019411783787929752,-0.0020772605498637683,-5.258960019195879e-05,0.0023636739265862025,0.0,0.0
26.427255077,-3.2932432352464374,2.1541101289672593,0.04349914015610843,-1.6891964091357037,0.00018656088871459313,2.5629596175470094e-05,0.00018977709579659022,-0.0003765390254745631,0.0024086530549784226,-0.0007946882098777145,0.0,0.0
26.43714229,-3.29324424720041,2.1541090461984287,0.043497587153367316,-1.6891946298331573,-0.0007938521068185148,-0.0005036214583227586,-0.0018399044698818696,0.018778380735598968,-0.03106061635283754,0.0005272232217803811,0.0,0.0
26.447393262,-3.2932441489023336,2.1541085369745234,0.04349792674011243,-1.6891974483444034,-7.572419505168517e-05,-0.00011245279459168784,0.00023158682711141068,-0.0008501534085678191,0.004555381454894601,-0.0021492362461982663,0.0,0.0
26.457156622,-3.293244827432272,2.154108773009042,0.043495070021539295,-1.6891895386908535,-0.0006000621112984419,0.00044408952515630527,-0.0019947231746273095,-0.03748089157150253,-0.029786967142088772,0.004973296009531517,0.0,0.0
26.467183744,-3.293243788601264,2.1541068511406745,0.0434987090664903,-1.6891892158770951,0.00018091304278633193,0.00012800954998804746,0.00025648305353471887,-0.002743220033587815,0.0031689987679546032,-0.0002796374432807635,0.0,0.0
26.477229325,-3.293244591762369,2.154106070759732,0.04349716778499238,-1.6891895728304156,-0.000379416854804749,-0.0004971870440527757,-0.0016203289158805375,0.018843571900303047,-0.024033456385131196,-0.003480455872646391,0.0,0.0
26.487089294,-3.2932445762504656,2.154105654690807,0.04349694210635606,-1.689191262557143,-5.185088107286002e-05,0.00012867349692249143,0.000621264588528377,-0.00607821541909514,0.0011884032845723956,0.0011892561415048552,0.0,0.0
26.496959186,-3.293244449461275,2.154103755931257,0.04349820795337466,-1.689187330870537,-4.8490717378033786e-05,0.00011153287242943419,0.0004078043488960813,-0.0038661891030170098,-2.7626246273336017e-05,0.001807787271428977,0.0,0.0
26.506980709,-3.2932443743720765,2.1541038988715835,0.04349843427012018,-1.6891876901766465,0.0003766145973890322,-0.00024575351986680816,0.00028886289437150093,0.0014199220801092301,0.0030321900503996247,-0.002001117564643481,0.0,0.0
26.516904656,-3.293244964736635,2.154102560789613,0.0434973424606706,-1.689191002415086,-0.0004538060306979636,-0.0003468963799314691,-0.0016838941175888968,0.017490964570565707,-0.02270292383611804,-0.0027771053479203147,0.0,0.0
26.527025773,-3.2932459477222724,2.1541019766938927,0.04349619037837974,-1.6891725522797272,0.0001691117523358353,-0.00035970361862629565,0.0014803744408772882,0.009005041234620646,0.011285461490272196,-0.0029791841676012542,0.0,0.0
26.53677991,-3.2932474740972033,2.1541000414860276,0.043489221431998355,-1.6892033632030998,-0.002490563676214397,-0.0020548927443116245,0.001880123449940281,0.09176016649174093,-0.10270846388021901,-0.002881368532314173,0.0,0.0
26.54689245,-3.293239216427702,2.1541009362650674,0.043487293567774,-1.6892254297889162,0.0010926346203041651,9.538167524763161e-05,0.0027139534370750895,0.009862251658253378,-0.02495930589843868,0.0010695497175334692,0.0,0.0
26.556804504,-3.2932419741265306,2.154096488676409,0.043495986582299605,-1.6892437819040345,-0.0004638414139767942,-0.0007581097108390071,0.000414436551245105,0.02966310768570556,-0.04112522024468152,-0.005272188557737978,0.0,0.0
26.566867049,-3.293241504316016,2.1540946581695852,0.043488364492214084,-1.689248286565667,-0.0003739766536772033,-0.0012813889820672663,0.0012278499344898772,0.04611796624967113,-0.07497081541753209,0.003954441274117338,0.0,0.0
26.576911701,-3.2932366702041382,2.154098821419716,0.04348301264176061,-1.6892799424130283,1.786347830577315e-06,0.0009792881275772598,0.0017303723047966254,-0.005959661258938494,0.12035869003118049,-0.0054200447349337,0.0,0.0
26.586762314,-3.2932399909196897,2.154096472361981,0.043497447717129434,-1.6892861796561096,0.00019785909323936,0.000132690411605495,0.0007230438862089691,-0.006866207856226294,0.006046948762055978,-0.0028711644499093357,0.0,0.0
26.596880252,-3.293238653793668,2.154097234915089,0.04349315908096011,-1.6892955286643059,-0.0012915418586696475,0.000533043192802226,0.003023886346687103,-0.02567777983884103,0.01615803110869226,-0.006262171705535752,0.0,0.0
26.606839693,-3.293237617100401,2.1540982007119642,0.043492650220461886,-1.6892819118679772,0.0015049022366066562,-0.000873210199393804,-0.0027343685090541947,0.03924515128338667,0.03772164469750539,0.006134374794426298,0.0,0.0
26.616789556,-3.293239545404778,2.154099818697893,0.04349615171576991,-1.6892834374403438,-0.0006144445569691346,-0.00026670438821425814,-0.0016912570365422732,0.018129537196691945,-0.028223167227155465,-0.0022588012951442697,0.0,0.0
26.626775425,-3.2932370062757244,2.154099796982532,0.043492236765495976,-1.689284737395302,0.0013877065485848863,-0.0009613145303616497,-0.0029789122563886237,0.04315749383906583,0.03873200025842521,0.0059632611053777535,0.0,0.0
26.636740591,-3.2932388076106895,2.154101854334546,0.0434979387431858,-1.68928413567063,0.00017881368484777747,0.0001972493854274245,0.00039473720173076326,-0.003529610470701967,0.002387607299671394,2.589219174028957e-06,0.0,0.0
26.646663803,-3.2932391565168135,2.1541033042181006,0.0434955955782112,-1.6892876127668528,-0.0007689458244735058,0.00019133166897416072,-0.0005615161352410639,0.006329900918370721,-0.02495802388326251,-5.383915281136953e-05,0.0,0.0
26.656884246,-3.2932395730712027,2.1541027270028703,0.04349032687280159,-1.6892834339048606,-0.0006490964921351002,0.00013119490801856136,0.0023870768455439883,-0.016256187249709248,0.012692519996177475,0.000331332816689094,0.0,0.0
26.666967349,-3.2932363146170927,2.1541080802546353,0.043493276474826335,-1.6892771830660966,0.0004925388206218959,0.00035436974100366494,-0.0018481885093146226,0.028205665745536075,0.0017888394383773927,0.004303412965796055,0.0,0.0
26.676805893,-3.2932375355174988,2.154109087500791,0.04348282880283627,-1.6893248366797298,0.0023596030110185264,0.0014970282343611686,-0.0028721869280685795,-0.050558338157367634,0.17059061003832596,-0.016681520503265785,0.0,0.0
26.687185254,-3.293236216421758,2.1541126561698825,0.043492565070573676,-1.689382986852892,-0.0002687022020086198,0.0003315693970317735,-0.00019731054604023234,-0.02736448651892424,-0.030972536096603137,-0.0005774046045978968,0.0,0.0
26.696898783,-3.293238107206157,2.15411404162026,0.04349559945725311,-1.6893930097122511,0.0005348460139719762,0.0004124355150818825,-0.0010010556448347414,-0.019143419527928324,0.030230600424794,-0.0024880107426803397,0.0,0.0
26.706824114,-3.293238224375858,2.15411548108374,0.04349128870796763,-1.6893712627869408,0.000769195074828234,0.0014725488250987666,0.0020652602826852604,-0.054081628567896674,0.05554028141063734,0.0057568839582793855,0.0,0.0
26.716895467,-3.2932364831753067,2.1541205528285023,0.043487220435351054,-1.6893877819582093,-0.0004602858629721331,0.0005950942927968583,0.003955991264634442,0.02231249659632969,0.034980034431235034,-0.008353397714152127,0.0,0.0
26.726889254,-3.2932383409044865,2.154119561555884,0.04348093704185156,-1.6893768164182497,0.0003606071733809165,0.00206832202487445,-0.007897598445350729,-0.08701698242839338,0.092353380616664,0.0071962464456048845,0.0,0.0
26.736832133,-3.2932417718189098,2.154117620573644,0.043495299260364786,-1.6893462643849564,0.0003419582243202664,0.0006914725125709032,0.0034406659095198005,-0.028886768004012256,0.012265489771829435,-0.000659507083422034,0.0,0.0
26.746632705,-3.29324099016078,2.1541229034550295,0.04349559651152045,-1.6893491865293842,-9.977046929484439e-06,0.001157326921022016,-0.0010395027101918696,0.010711676211749038,0.001953836234054143,-0.0017969490328269054,0.0,0.0
26.756781591,-3.293241255631131,2.154126781137295,0.04348824707738266,-1.6893701859658978,0.0005533670788064127,0.0008052146429729948,-0.0011857475541554412,-0.01916480092802842,-0.028058616865682395,-0.005799947444134466,0.0,0.0
26.766878978,-3.293242356627832,2.1541324571050686,0.043488424518339515,-1.689423692301331,0.0014643976887668715,0.0019734734879638506,0.0027713791579705442,-0.0676605462568438,0.03472272716908288,-0.006712902225250152,0.0,0.0
26.776910706,-3.2932374448227413,2.154139362525702,0.04349140061243681,-1.6894196494726619,-0.00021065905590185322,-0.0002160599326952444,-0.002989981498046148,0.040835641516951994,0.015749094657311443,-0.0006592529564000218,0.0,0.0
26.786848361,-3.2932400162153534,2.1541422191552537,0.0434936000623828,-1.6893901186103226,-0.0005571760064729021,-0.00032431467467312073,0.0029104285775063774,-0.01948206438636608,-0.025188817570674066,0.005679634395412358,0.0,0.0
26.796817676,-3.2932457572758507,2.15413940807406,0.04348155321236509,-1.689331588339015,-0.002572659272585578,0.0007334772666069139,-0.00019069394446238636,-0.03699724313575391,-0.016112292150103708,0.008481641660356008,0.0,0.0
26.806674015,-3.2932449752422674,2.1541361260019265,0.04349727071092256,-1.6892592939376927,0.0002035675633741869,4.651872663494998e-06,0.0009355701794692724,-0.005808344417684457,0.007106532186845875,-0.0022815333747147506,0.0,0.0
26.816721344,-3.293244176469135,2.154136965736469,0.04349721858607893,-1.6892728409806135,-0.0006810081178909665,-0.0003160321542865823,-0.0014831254384442155,0.01756279974609497,-0.024658469816900678,-0.0016033260858636371,0.0,0.0
26.826816203,-3.293244563939311,2.154137177737517,0.043498433180093325,-1.689274622680404,4.731357698423688e-05,8.698792131704251e-05,0.00039445426919069385,-0.004866268731145608,0.005344086377002596,-8.917798037688998e-05,0.0,0.0
26.836802316,-3.293241927508935,2.1541360823969566,0.043492669607305856,-1.6892564177352156,0.000551470409613928,-0.00011226957077875134,-6.021791729320543e-05,-0.024279864475594784,-0.01893292725738997,0.007221750488156948,0.0,0.0
26.846624405,-3.2932445360846447,2.154137654784328,0.0434967223551352,-1.6892589509223654,-0.000628211572842608,-0.00024229764137279175,-0.0016266952092533016,0.01694502020961279,-0.026492856086092472,-0.0022271455575421976,0.0,0.0
26.856551568,-3.293242276888604,2.154137294716127,0.04349245663162401,-1.6892572952852443,0.0013099046732355205,-0.0008829776572666121,-0.003051682306711434,0.03899100958748368,0.03919923928984166,0.006952752440717639,0.0,0.0
26.866481707,-3.293243768872107,2.154138977694218,0.04349826527353365,-1.6892527042734822,9.500019645435264e-05,0.00021921340401909675,0.00036414697319899246,-0.0037151111834685994,0.0019204078191047576,-0.0003824356799710256,0.0,0.0
26.876515003,-3.2932441798859298,2.1541395141524267,0.04349751659628895,-1.6892630902156036,-5.309264616413535e-05,2.0764959084566258e-05,0.0004907430568028247,-0.00194662595570118,0.005889243503939386,0.00023779719817209054,0.0,0.0
26.886540568,-3.293243960883607,2.1541399209607235,0.0434972585852106,-1.6892506209515876,3.5943533990230226e-05,0.00019495319522132637,0.0006840849800789457,-0.006736211435440889,0.00354019562646069,-0.0005445714964744702,0.0,0.0
26.89704166,-3.293243894297099,2.1541410069302893,0.04349664841874909,-1.6892604126728126,-0.0006434278504593052,-0.00036068955661986834,-0.001502585257837599,0.018002465042295038,-0.02501578021733644,-0.0026578990293936594,0.0,0.0
